step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
26,8080,208,0.045420840246602895,0.875,0.875,,,,,,,,,
27,8280,216,0.06442182538099588,0.625,0.625,,,,,,,,,
28,8608,224,0.049479781331727285,0.625,0.625,,,,,,,,,
29,8872,232,0.06774445807153825,0.5,0.5,,,,,,,,,
30,9136,240,0.06245647841133178,0.5,0.5,,,,,,,,,
31,9464,248,0.0440499293084722,0.625,0.625,,,,,,,,,
32,9664,256,0.06398160368514556,0.625,0.625,,,,,,,,,
33,10056,264,0.0435722264678528,0.625,0.625,0.036297798079516115,0.875,0.875,,,,,,
34,10448,272,0.04591464244702365,0.75,0.75,,,,,,,,,
35,10776,280,0.05020587615435943,0.75,0.75,,,,,,,,,
36,11104,288,0.046037821991514655,0.5,0.5,,,,,,,,,
37,11432,296,0.057634655538247904,0.625,0.625,,,,,,,,,
38,11824,304,0.045496719352474124,0.625,0.625,,,,,,,,,
39,12088,312,0.050809581303037706,0.875,0.875,,,,,,,,,
40,12416,320,0.03368695669341833,0.875,0.875,,,,,,,,,
41,12680,328,0.046936981549370094,0.75,0.75,0.04517851171748979,0.375,0.375,,,,,,
42,12944,336,0.07347179641918046,0.375,0.375,,,,,,,,,
43,13336,344,0.041579513464433455,0.625,0.625,,,,,,,,,
44,13792,352,0.03256751919431346,0.75,0.75,,,,,,,,,
45,14120,360,0.04865874707931653,0.5,0.5,,,,,,,,,
46,14512,368,0.04458649025541187,0.625,0.625,,,,,,,,,
47,14712,376,0.06872973373159766,0.25,0.25,,,,,,,,,
48,15040,384,0.05505894019827247,0.375,0.375,,,,,,,,,
49,15304,392,0.05307810338405943,0.375,0.375,0.04460906856879592,0.875,0.875,,,,,,
50,15568,400,0.04191954089386855,0.75,0.75,,,,,,,,,
51,15960,408,0.04676982784360007,0.25,0.25,,,,,,,,,
52,16352,416,0.043109867465876354,0.625,0.625,,,,,,,,,
53,16616,424,0.05509555986034684,0.625,0.625,,,,,,,,,
54,16880,432,0.06561343566165306,0.375,0.375,,,,,,,,,
55,17336,440,0.032019235861537584,0.5,0.5,,,,,,,,,
56,17728,448,0.034264205911119165,1.0,1.0,,,,,,,,,
57,17992,456,0.0446728985849768,0.75,0.75,0.038829541118902855,0.875,0.875,,,,,,
58,18320,464,0.049029286569682876,0.375,0.375,,,,,,,,,
59,18584,472,0.05324016145284986,0.5,0.5,,,,,,,,,
60,18912,480,0.0497711892228108,0.5,0.5,,,,,,,,,
61,19304,488,0.033940410908059375,0.625,0.625,,,,,,,,,
62,19632,496,0.039448214357602415,0.75,0.75,,,,,,,,,
63,19896,504,0.04586863948183237,0.625,0.625,,,,,,,,,
64,20224,512,0.042383115965873,0.75,0.75,,,,,,,,,
65,20552,520,0.037573952982493206,0.5,0.5,0.027104380233164797,0.75,0.75,,,,,,
66,20880,528,0.04387583198631182,0.625,0.625,,,,,,,,,
67,21208,536,0.037602845770074056,0.75,0.75,,,,,,,,,
68,21472,544,0.05619364944901463,0.625,0.625,,,,,,,,,
69,21864,552,0.03842711369070457,0.75,0.75,,,,,,,,,
70,22256,560,0.03918506334108922,0.625,0.625,,,,,,,,,
71,22520,568,0.05298018770568888,0.75,0.75,,,,,,,,,
72,22784,576,0.04716681302525103,0.625,0.625,,,,,,,,,
73,23048,584,0.04211920159345027,0.75,0.75,0.03243347161640745,0.875,0.875,,,,,,
74,23376,592,0.03337291623710189,0.875,0.875,,,,,,,,,
75,23704,600,0.04034310189417738,0.75,0.75,,,,,,,,,
76,24032,608,0.04013312101707561,0.875,0.875,,,,,,,,,
77,24488,616,0.029471079632390422,0.875,0.875,,,,,,,,,
78,24816,624,0.037739030816228473,0.75,0.75,,,,,,,,,
79,25144,632,0.04043960954909562,0.875,0.875,,,,,,,,,
80,25472,640,0.0427582117890488,0.5,0.5,,,,,,,,,
81,25928,648,0.03312626278576707,0.875,0.875,0.05075201437754004,0.75,0.75,,,,,,
82,26256,656,0.04947480866522529,0.5,0.5,,,,,,,,,
83,26584,664,0.03366223692160565,0.875,0.875,,,,,,,,,
84,26976,672,0.047459638556820206,0.5,0.5,,,,,,,,,
85,27624,680,0.02630743567622267,0.5,0.5,,,,,,,,,
86,27888,688,0.06024404914001934,0.5,0.5,,,,,,,,,
87,28280,696,0.036456187561828605,0.625,0.625,,,,,,,,,
88,28608,704,0.057554236461233824,0.375,0.375,,,,,,,,,
